name,light_years_from_earth,planet_mass,stellar_magnitude,discovery_date,hyperlink,planet_type,planet_radius,orbital_radius,orbital_period,eccentricity
BD-17 63 b,112,5.1 Jupiters,9.62,2008,https://exoplanets.nasa.gov/exoplanet-catalog/7067/bd-17-63-b/
BD+20 2457 b,5023,55.59 Jupiters,9.743,2009,https://exoplanets.nasa.gov/exoplanet-catalog/7078/bd20-2457-b/
BD+20 2457 c,5023,12.47 Jupiters,9.743,2009,https://exoplanets.nasa.gov/exoplanet-catalog/7079/bd20-2457-c/
BD+20 274 b,4314,4.2 Jupiters,9.367,2012,https://exoplanets.nasa.gov/exoplanet-catalog/7077/bd20-274-b/
BD+20 594 b,585,22.2481 Earths,10.849,2016,https://exoplanets.nasa.gov/exoplanet-catalog/7166/bd20-594-b/
BD+45 564 b,175,1.36 Jupiters,9.67,2021,https://exoplanets.nasa.gov/exoplanet-catalog/7868/bd45-564-b/
BD+48 738 b,2843,0.91 Jupiters,9.139,2011,https://exoplanets.nasa.gov/exoplanet-catalog/6565/bd48-738-b/
BD+48 740 b,2174,1.7 Jupiters,8.69,2018,https://exoplanets.nasa.gov/exoplanet-catalog/7198/bd48-740-b/
BD+49 828 b,1442,1.6 Jupiters,9.381,2015,https://exoplanets.nasa.gov/exoplanet-catalog/6566/bd49-828-b/
BD+55 362 b,171,0.72 Jupiters,9.38,2021,https://exoplanets.nasa.gov/exoplanet-catalog/7873/bd55-362-b/
BD+60 1417 b,147,15 Jupiters,9.374,2021,https://exoplanets.nasa.gov/exoplanet-catalog/8360/bd60-1417-b/
